CrabID,CollectionBlock,CrabNumber,Sex,Size_mm,Order,RepeatNumber,StimNumber,Stimulus,BinaryRes
C309,3,9,F,25,1,1,4,Second-order flicker stimulus,NA
C309,3,9,F,25,2,1,3,Mean grey,1
C309,3,9,F,25,3,1,1,Control,0
C309,3,9,F,25,4,1,5,Flicker control,1
C309,3,9,F,25,5,1,2,First-order stimulus,1
C309,3,9,F,25,6,2,4,Second-order flicker stimulus,1
C310,3,10,M,25,1,1,3,Mean grey,1
C310,3,10,M,25,2,1,1,Control,0
C310,3,10,M,25,3,1,5,Flicker control,0
C310,3,10,M,25,4,1,2,First-order stimulus,1
C310,3,10,M,25,5,1,4,Second-order flicker stimulus,1
C311,3,11,F,21,1,1,2,First-order stimulus,1
C311,3,11,F,21,2,1,1,Control,0
C311,3,11,F,21,3,1,4,Second-order flicker stimulus,1
C311,3,11,F,21,4,1,3,Mean grey,0
C311,3,11,F,21,5,1,5,Flicker control,0
C312,3,12,M,23,1,1,2,First-order stimulus,0
C312,3,12,M,23,2,1,4,Second-order flicker stimulus,NA
C312,3,12,M,23,3,1,3,Mean grey,0
C312,3,12,M,23,4,1,1,Control,NA
C312,3,12,M,23,5,1,5,Flicker control,0
C312,3,12,M,23,6,2,4,Second-order flicker stimulus,0
C312,3,12,M,23,7,2,1,Control,0
C313,3,13,F,22,1,1,1,Control,0
C313,3,13,F,22,2,1,4,Second-order flicker stimulus,NA
C313,3,13,F,22,3,1,2,First-order stimulus,1
C313,3,13,F,22,4,1,3,Mean grey,1
C313,3,13,F,22,5,1,5,Flicker control,NA
C313,3,13,F,22,6,2,4,Second-order flicker stimulus,1
C313,3,13,F,22,7,2,5,Flicker control,0
C314,3,14,M,27,1,1,4,Second-order flicker stimulus,1
C314,3,14,M,27,2,1,3,Mean grey,1
C314,3,14,M,27,3,1,2,First-order stimulus,0
C314,3,14,M,27,4,1,1,Control,0
C314,3,14,M,27,5,1,5,Flicker control,0
C315,3,15,F,26,1,1,2,First-order stimulus,0
C315,3,15,F,26,2,1,3,Mean grey,1
C315,3,15,F,26,3,1,5,Flicker control,0
C315,3,15,F,26,4,1,4,Second-order flicker stimulus,1
C315,3,15,F,26,5,1,1,Control,0
C316,3,16,F,22,1,1,3,Mean grey,0
C316,3,16,F,22,2,1,2,First-order stimulus,0
C316,3,16,F,22,3,1,1,Control,0
C316,3,16,F,22,4,1,4,Second-order flicker stimulus,1
C316,3,16,F,22,5,1,5,Flicker control,1
C317,3,17,M,21,1,1,2,First-order stimulus,1
C317,3,17,M,21,2,1,5,Flicker control,NA
C317,3,17,M,21,3,1,4,Second-order flicker stimulus,NA
C317,3,17,M,21,4,1,1,Control,1
C317,3,17,M,21,5,1,3,Mean grey,1
C317,3,17,M,21,6,2,5,Flicker control,NA
C317,3,17,M,21,7,2,4,Second-order flicker stimulus,NA
C317,3,17,M,21,8,3,5,Flicker control,NA
C317,3,17,M,21,9,3,4,Second-order flicker stimulus,NA
C317,3,17,M,21,10,4,5,Flicker control,NA
C318,3,18,F,23,1,1,2,First-order stimulus,NA
C318,3,18,F,23,2,1,5,Flicker control,1
C318,3,18,F,23,3,1,3,Mean grey,1
C318,3,18,F,23,4,1,1,Control,0
C318,3,18,F,23,5,1,4,Second-order flicker stimulus,NA
C318,3,18,F,23,6,2,2,First-order stimulus,0
C318,3,18,F,23,7,2,4,Second-order flicker stimulus,1
C319,3,19,M,23,1,1,4,Second-order flicker stimulus,NA
C319,3,19,M,23,2,1,2,First-order stimulus,0
C319,3,19,M,23,3,1,5,Flicker control,NA
C319,3,19,M,23,4,1,3,Mean grey,0
C319,3,19,M,23,5,1,1,Control,0
