CrabID,CollectionBlock,CrabNumber,Sex,Size_mm,Order,RepeatNumber,StimNumber,Stimulus,BinaryRes
C401,4,1,M,24,1,1,3,Mean grey,0
C401,4,1,M,24,2,1,4,Second-order flicker stimulus,NA
C401,4,1,M,24,3,1,5,Flicker control,0
C401,4,1,M,24,4,1,2,First-order stimulus,NA
C401,4,1,M,24,5,1,1,Control,0
C401,4,1,M,24,6,2,4,Second-order flicker stimulus,0
C401,4,1,M,24,7,2,2,First-order stimulus,1
C402,4,2,F,26,1,1,4,Second-order flicker stimulus,NA
C402,4,2,F,26,2,1,2,First-order stimulus,1
C402,4,2,F,26,3,1,3,Mean grey,NA
C402,4,2,F,26,4,1,5,Flicker control,NA
C402,4,2,F,26,5,1,1,Control,0
C402,4,2,F,26,6,2,4,Second-order flicker stimulus,1
C402,4,2,F,26,7,2,3,Mean grey,0
C402,4,2,F,26,8,2,5,Flicker control,0
C403,4,3,M,24,1,1,5,Flicker control,0
C403,4,3,M,24,2,1,2,First-order stimulus,1
C403,4,3,M,24,3,1,4,Second-order flicker stimulus,0
C403,4,3,M,24,4,1,1,Control,0
C403,4,3,M,24,5,1,3,Mean grey,0
C404,4,4,F,26,1,1,1,Control,0
C404,4,4,F,26,2,1,3,Mean grey,0
C404,4,4,F,26,3,1,4,Second-order flicker stimulus,1
C404,4,4,F,26,4,1,5,Flicker control,0
C404,4,4,F,26,5,1,2,First-order stimulus,NA
C404,4,4,F,26,6,2,2,First-order stimulus,0
C405,4,5,M,25,1,1,5,Flicker control,1
C405,4,5,M,25,2,1,3,Mean grey,0
C405,4,5,M,25,3,1,1,Control,0
C405,4,5,M,25,4,1,4,Second-order flicker stimulus,0
C405,4,5,M,25,5,1,2,First-order stimulus,1
C406,4,6,F,25,1,1,3,Mean grey,NA
C406,4,6,F,25,2,1,4,Second-order flicker stimulus,1
C406,4,6,F,25,3,1,2,First-order stimulus,1
C406,4,6,F,25,4,1,1,Control,NA
C406,4,6,F,25,5,1,5,Flicker control,0
C406,4,6,F,25,6,2,3,Mean grey,NA
C406,4,6,F,25,7,2,1,Control,NA
C406,4,6,F,25,8,3,3,Mean grey,0
C406,4,6,F,25,9,3,1,Control,0
C407,4,7,M,26,1,1,1,Control,0
C407,4,7,M,26,2,1,4,Second-order flicker stimulus,NA
C407,4,7,M,26,3,1,3,Mean grey,NA
C407,4,7,M,26,4,1,5,Flicker control,0
C407,4,7,M,26,5,1,2,First-order stimulus,NA
C407,4,7,M,26,6,2,4,Second-order flicker stimulus,0
C407,4,7,M,26,7,2,3,Mean grey,1
C407,4,7,M,26,8,2,2,First-order stimulus,0
C408,4,8,F,25,1,1,1,Control,0
C408,4,8,F,25,2,1,4,Second-order flicker stimulus,0
C408,4,8,F,25,3,1,5,Flicker control,0
C408,4,8,F,25,4,1,3,Mean grey,0
C408,4,8,F,25,5,1,2,First-order stimulus,1
C409,4,9,M,29,1,1,5,Flicker control,0
C409,4,9,M,29,2,1,4,Second-order flicker stimulus,1
C409,4,9,M,29,3,1,3,Mean grey,0
C409,4,9,M,29,4,1,1,Control,NA
C409,4,9,M,29,5,1,2,First-order stimulus,1
C409,4,9,M,29,6,2,1,Control,0
C410,4,10,F,29,1,1,2,First-order stimulus,1
C410,4,10,F,29,2,1,1,Control,0
C410,4,10,F,29,3,1,3,Mean grey,0
C410,4,10,F,29,4,1,5,Flicker control,0
C410,4,10,F,29,5,1,4,Second-order flicker stimulus,1
C411,4,11,M,29,1,1,1,Control,0
C411,4,11,M,29,2,1,4,Second-order flicker stimulus,0
C411,4,11,M,29,3,1,5,Flicker control,0
C411,4,11,M,29,4,1,2,First-order stimulus,0
C411,4,11,M,29,5,1,3,Mean grey,0
C412,4,12,F,26,1,1,3,Mean grey,0
C412,4,12,F,26,2,1,1,Control,0
C412,4,12,F,26,3,1,5,Flicker control,0
C412,4,12,F,26,4,1,4,Second-order flicker stimulus,NA
C412,4,12,F,26,5,1,2,First-order stimulus,0
C412,4,12,F,26,6,2,4,Second-order flicker stimulus,1
C413,4,13,M,24,1,1,1,Control,0
C413,4,13,M,24,2,1,5,Flicker control,NA
C413,4,13,M,24,3,1,2,First-order stimulus,0
C413,4,13,M,24,4,1,3,Mean grey,0
C413,4,13,M,24,5,1,4,Second-order flicker stimulus,0
C413,4,13,M,24,6,2,5,Flicker control,NA
C413,4,13,M,24,7,3,5,Flicker control,0
C414,4,14,F,19,1,1,5,Flicker control,1
C414,4,14,F,19,2,1,2,First-order stimulus,NA
C414,4,14,F,19,3,1,1,Control,NA
C414,4,14,F,19,4,1,3,Mean grey,1
C414,4,14,F,19,5,1,4,Second-order flicker stimulus,1
C414,4,14,F,19,6,2,2,First-order stimulus,1
C414,4,14,F,19,7,2,1,Control,NA
C414,4,14,F,19,8,3,1,Control,0
C415,4,15,M,22,1,1,4,Second-order flicker stimulus,NA
C415,4,15,M,22,2,1,5,Flicker control,0
C415,4,15,M,22,3,1,1,Control,1
C415,4,15,M,22,4,1,2,First-order stimulus,NA
C415,4,15,M,22,5,1,3,Mean grey,0
C415,4,15,M,22,6,2,4,Second-order flicker stimulus,1
C415,4,15,M,22,7,2,2,First-order stimulus,1
C416,4,16,F,23,1,1,4,Second-order flicker stimulus,NA
